"TEXT";"CODE";"ZUSATZZIFFER";"GEMEINDE";"KANTON";"E";"N"
"Beinwil am See";5712;0;"Beinwil am See";"AG";8.208;47.265
"Belalp";3914;1;"Naters";"VS";7.971;46.371
"Belfaux";1782;0;"Belfaux";"FR";7.106;46.822
"Bellach";4512;0;"Bellach";"SO";7.492;47.214
"Bellelay";2713;0;"Saicourt";"BE";7.168;47.264
"Bellerive VD";1585;2;"Vully-les-Lacs";"VD";7.023;46.924
"Bellevue";1293;0;"Bellevue";"GE";6.153;46.253
"Bellikon";5454;0;"Bellikon";"AG";8.349;47.391
"Bellinzona";6503;0;"Bellinzona";"TI";9.007;46.208
"Bellinzona";6500;0;"Bellinzona";"TI";9.024;46.197
"Bellmund";2564;0;"Bellmund";"BE";7.245;47.107
"Bellwald";3997;0;"Bellwald";"VS";8.160;46.426
"Belmont-sur-Lausanne";1092;0;"Belmont-sur-Lausanne";"VD";6.680;46.520
"Belmont-sur-Yverdon";1432;0;"Belmont-sur-Yverdon";"VD";6.623;46.745
"Belp";3123;0;"Belp";"BE";7.509;46.893
"Belpberg";3124;0;"Belp";"BE";7.521;46.867
"Belprahon";2744;0;"Belprahon";"BE";7.405;47.286
"Benglen";8121;0;"Fällanden";"ZH";8.637;47.361
"Benken SG";8717;0;"Benken (SG)";"SG";8.999;47.198
"Benken ZH";8463;0;"Benken (ZH)";"ZH";8.650;47.652
"Bennau";8836;0;"Einsiedeln";"SZ";8.729;47.148
"Bennwil";4431;0;"Bennwil";"BL";7.781;47.400
"Benzenschwil";5636;0;"Merenschwand";"AG";8.363;47.246
"Bercher";1038;0;"Bercher";"VD";6.708;46.692
"Berg (Dägerlen)";8471;4;"Dägerlen";"ZH";8.734;47.566
"Berg SG";9305;0;"Berg (SG)";"SG";9.407;47.486
"Berg TG";8572;0;"Berg (TG)";"TG";9.160;47.580
"Berg TG";8572;0;"Berg (TG)";"TG";9.196;47.597
"Berg am Irchel";8415;0;"Berg am Irchel";"ZH";8.598;47.570
"Bergdietikon";8962;0;"Bergdietikon";"AG";8.380;47.390
"Bergün/Bravuogn";7482;0;"Bergün/Bravuogn";"GR";9.745;46.627
"Berikon";8965;0;"Berikon";"AG";8.376;47.351
"Beringen";8222;0;"Beringen";"SH";8.572;47.699
"Berken";3376;2;"Berken";"BE";7.705;47.225
"Berlens";1680;2;"Mézières (FR)";"FR";6.953;46.693
"Berlingen";8267;0;"Berlingen";"TG";9.016;47.674
"Bern";3011;0;"Bern";"BE";7.461;46.953
"Bern";3011;0;"Bern";"BE";7.448;46.947
"Bern";3018;0;"Bern";"BE";7.389;46.933
"Bern";3015;0;"Bern";"BE";7.484;46.940
"Bern";3005;0;"Bern";"BE";7.449;46.939
"Bern";3006;0;"Bern";"BE";7.471;46.945
"Bern";3008;0;"Bern";"BE";7.413;46.945
"Bern";3014;0;"Bern";"BE";7.458;46.962
"Bern";3013;0;"Bern";"BE";7.446;46.956
"Bern";3010;0;"Bern";"BE";7.424;46.946
"Bern";3004;0;"Bern";"BE";7.452;46.980
"Bern";3012;0;"Bern";"BE";7.426;46.961
"Bern";3020;0;"Bern";"BE";7.451;46.947
"Bern";3007;0;"Bern";"BE";7.434;46.939
"Bern";3027;0;"Bern";"BE";7.387;46.955
"Bern";3019;0;"Bern";"BE";7.347;46.931
"Berneck";9442;0;"Berneck";"SG";9.609;47.424
"Bernex";1233;0;"Bernex";"GE";6.069;46.173
"Bernhardzell";9304;0;"Waldkirch";"SG";9.340;47.472
"Berolle";1149;0;"Berolle";"VD";6.336;46.558
"Beromünster";6215;0;"Beromünster";"LU";8.200;47.206
"Berschis";8892;0;"Walenstadt";"SG";9.349;47.107
"Bertschikon";8543;0;"Wiesendangen";"ZH";8.814;47.526
"Bertschikon (Gossau ZH)";8614;0;"Gossau (ZH)";"ZH";8.757;47.321
"Berzona";6661;3;"Isorno";"TI";8.662;46.204
"Besazio";6863;0;"Mendrisio";"TI";8.951;45.873
"Besenbüren";5627;0;"Besenbüren";"AG";8.345;47.314
"Besencens";1609;2;"Saint-Martin (FR)";"FR";6.869;46.587
"Betschwanden";8777;2;"Glarus Süd";"GL";9.027;46.944
"Betten";3991;0;"Bettmeralp";"VS";8.067;46.376
"Bettenhausen";3366;0;"Bettenhausen";"BE";7.718;47.173
"Bettens";1042;4;"Bettens";"VD";6.577;46.625
"Bettingen";4126;0;"Bettingen";"BS";7.665;47.571
"Bettlach";2544;0;"Bettlach";"SO";7.429;47.203
"Bettmeralp";3992;0;"Bettmeralp";"VS";8.065;46.390
"Bettwiesen";9553;0;"Bettwiesen";"TG";9.028;47.497
"Bettwil";5618;0;"Bettwil";"AG";8.270;47.291
"Beurnevésin";2935;0;"Beurnevésin";"JU";7.137;47.493
"Beuson (Nendaz)";1996;6;"Nendaz";"VS";7.326;46.183
"Bevaix";2022;0;"Bevaix";"NE";6.815;46.930
"Bever";7502;0;"Bever";"GR";9.889;46.552
"Bever";7502;0;"Bever";"GR";9.729;46.528
"Bex";1880;0;"Bex";"VD";7.012;46.251
"Biasca";6710;0;"Biasca";"TI";8.972;46.360
"Biberen";3206;3;"Ferenbalm";"BE";7.211;46.939
"Biberist";4562;0;"Biberist";"SO";7.552;47.183
"Bibern SH";8242;0;"Thayngen";"SH";8.677;47.772
"Bibern SO";4578;0;"Buchegg";"SO";7.453;47.148
"Biberstein";5023;0;"Biberstein";"AG";8.081;47.416
"Bichelsee";8363;0;"Bichelsee-Balterswil";"TG";8.921;47.451
"Bichwil";9248;0;"Oberuzwil";"SG";9.136;47.418
"Bidogno";6958;0;"Capriasca";"TI";8.999;46.078
"Biel VS";3989;0;"Grafschaft";"VS";8.216;46.457
"Biel-Benken BL";4105;0;"Biel-Benken";"BL";7.519;47.503
"Biel/Bienne";2503;0;"Biel/Bienne";"BE";7.251;47.131
"Biel/Bienne";2504;0;"Biel/Bienne";"BE";7.246;47.141
"Biel/Bienne";2502;0;"Biel/Bienne";"BE";7.245;47.142
"Biel/Bienne";2505;0;"Biel/Bienne";"BE";7.218;47.133
"Bielersee";9999;0;"Bielersee (BE)";"BE";7.178;47.087
"Biembach im Emmental";3419;0;"Hasle bei Burgdorf";"BE";7.616;46.993
"Biessenhofen";8580;8;"Amriswil";"TG";9.260;47.546
"Bieudron (Nendaz)";1996;2;"Nendaz";"VS";7.279;46.194
"Biezwil";4585;0;"Biezwil";"SO";7.415;47.116
"Bigenthal";3513;0;"Walkringen";"BE";7.626;46.965
"Biglen";3507;0;"Biglen";"BE";7.628;46.930
"Bignasco";6676;0;"Cevio";"TI";8.609;46.338
"Bigorio";6954;1;"Capriasca";"TI";8.956;46.071
"Billens";1681;0;"Billens-Hennens";"FR";6.900;46.690
"Bilten";8865;0;"Glarus Nord";"GL";9.029;47.149
"Binn";3996;0;"Binn";"VS";8.183;46.365
"Binningen";4102;0;"Binningen";"BL";7.577;47.539
"Binz";8122;0;"Maur";"ZH";8.627;47.356
"Bioggio";6934;0;"Bioggio";"TI";8.911;46.016
"Biogno-Beride";6981;12;"Croglio";"TI";8.842;45.997
"Bioley-Magnoux";1407;4;"Bioley-Magnoux";"VD";6.711;46.726
"Bioley-Orjulaz";1042;3;"Bioley-Orjulaz";"VD";6.597;46.621
"Bionnens";1670;2;"Ursy";"FR";6.855;46.635
"Birgisch";3903;1;"Naters";"VS";7.957;46.318
"Birmensdorf ZH";8903;0;"Birmensdorf (ZH)";"ZH";8.445;47.353
"Birmenstorf AG";5413;0;"Birmenstorf (AG)";"AG";8.241;47.461
"Bironico";6804;0;"Monteceneri";"TI";8.937;46.115
"Birr";5242;1;"Birr";"AG";8.207;47.434
"Birrhard";5244;0;"Birrhard";"AG";8.241;47.435
"Birrwil";5708;0;"Birrwil";"AG";8.197;47.290
"Birsfelden";4127;0;"Birsfelden";"BL";7.625;47.555
"Birwinken";8585;9;"Birwinken";"TG";9.196;47.584
"Bischofszell";9220;0;"Bischofszell";"TG";9.235;47.495
"Bisisthal";6436;2;"Muotathal";"SZ";8.831;46.943
"Bissone";6816;0;"Bissone";"TI";8.966;45.951
"Bister";3983;2;"Bister";"VS";8.064;46.360
"Bitsch";3982;0;"Bitsch";"VS";8.010;46.336
"Bivio";7457;0;"Bivio";"GR";9.652;46.468
"Bière";1145;0;"Bière";"VD";6.333;46.538
"Blankenburg";3771;0;"Zweisimmen";"BE";7.385;46.541
"Blatten (Lötschen)";3919;0;"Blatten";"VS";7.816;46.421
"Blatten b. Naters";3914;0;"Naters";"VS";7.981;46.360
"Blauen";4223;0;"Blauen";"BL";7.524;47.450
"Blausee-Mitholz";3717;0;"Kandergrund";"BE";7.675;46.528
"Bleienbach";3368;0;"Bleienbach";"BE";7.760;47.183
"Bleiken b. Oberdiessbach";3674;0;"Oberdiessbach";"BE";7.638;46.816
"Blessens";1675;2;"Rue";"FR";6.839;46.611
"Blignou (Ayent)";1966;9;"Ayent";"VS";7.397;46.271
"Blitzingen";3989;5;"Blitzingen";"VS";8.202;46.441
"Blonay";1807;0;"Blonay";"VD";6.894;46.465
"Blumenstein";3638;0;"Blumenstein";"BE";7.524;46.742
"Bodio TI";6743;0;"Bodio";"TI";8.911;46.379
"Bofflens";1353;0;"Bofflens";"VD";6.498;46.703
"Bogis-Bossey";1279;2;"Bogis-Bossey";"VD";6.166;46.353
"Bogno";6951;19;"Lugano";"TI";9.063;46.090
"Bolken";4556;2;"Bolken";"SO";7.666;47.191
"Boll";3067;0;"Vechigen";"BE";7.547;46.953
"Bolligen";3065;0;"Bolligen";"BE";7.503;46.976
"Bollingen";8715;0;"Rapperswil-Jona";"SG";8.893;47.221
"Bollion";1470;4;"Lully (FR)";"FR";6.827;46.817
"Bollodingen";3366;2;"Bettenhausen";"BE";7.705;47.166
"Boltigen";3766;0;"Boltigen";"BE";7.394;46.630
"Bombinasco";6981;15;"Curio";"TI";8.833;46.014
"Bonaduz";7402;0;"Bonaduz";"GR";9.395;46.813
"Bonau";8554;3;"Wigoltingen";"TG";9.042;47.583
"Boncourt";2926;0;"Boncourt";"JU";7.013;47.496
"Bonfol";2944;0;"Bonfol";"JU";7.147;47.479
"Boningen";4618;0;"Boningen";"SO";7.854;47.308
