"BFSNR"|"GEMEINDENAME"|"SPRACHREGION"|"GEMEINDE_GROESSE"|"STADT"|"LON"|"LAT"|"PLZ"|"INITIAL"
1362|"Arth"|1|4|true|8.555919|47.050619|6410|false
1364|"Ingenbohl"|1|5|false|8.602303|47.000328|6440|false
1367|"Muotathal"|1|6|false|8.831422|46.943931|6436|false
1370|"Rothenthurm"|1|6|false|8.675131|47.105064|6418|false
1372|"Schwyz"|1|4|true|8.630489|47.031392|6423|false
1373|"Steinen"|1|6|false|8.611836|47.047292|6422|false
1375|"Unteriberg"|1|6|false|8.803236|47.056367|8842|false
1401|"Alpnach"|1|5|false|8.277419|46.952833|6053|false
1402|"Engelberg"|1|6|false|8.373861|46.868425|6388|false
1403|"Giswil"|1|6|false|8.181294|46.836858|6074|false
1404|"Kerns"|1|5|false|8.280233|46.901961|6064|false
1405|"Lungern"|1|6|false|8.164728|46.811858|6078|false
1406|"Sachseln"|1|5|false|8.233036|46.864550|6072|false
1407|"Sarnen"|1|4|true|8.258569|46.919506|6056|false
1501|"Beckenried"|1|6|false|8.468736|46.965083|6375|false
1502|"Buochs"|1|5|false|8.414994|46.972453|6374|false
1505|"Ennetbürgen"|1|6|false|8.410978|46.987994|6373|false
1506|"Ennetmoos"|1|6|false|8.331869|46.957469|6372|false
1507|"Hergiswil (NW)"|1|5|false|8.304153|46.987142|6052|false
1508|"Oberdorf (NW)"|1|6|false|8.383650|46.959025|6370|false
1509|"Stans"|1|5|true|8.383650|46.959025|6370|false
1510|"Stansstad"|1|6|false|8.339561|46.976589|6362|false
1511|"Wolfenschiessen"|1|6|false|8.403856|46.907731|6386|false
1630|"Glarus Nord"|1|4|true|9.057078|47.101122|8752|false
1631|"Glarus Süd"|1|5|false|9.076858|47.012481|8756|false
1632|"Glarus"|1|4|true|9.058375|47.041561|8750|false
1701|"Baar"|1|3|true|8.550964|47.164544|6319|false
1702|"Cham"|1|4|true|8.451950|47.184836|6330|false
1703|"Hünenberg"|1|5|false|8.431208|47.172008|6331|false
1704|"Menzingen"|1|6|false|8.571478|47.179744|6313|false
1705|"Neuheim"|1|6|false|8.517694|47.196456|6340|false
1706|"Oberägeri"|1|5|false|8.639136|47.142769|6315|false
1707|"Risch"|1|5|true|8.454944|47.139606|6343|false
1708|"Steinhausen"|1|5|true|8.490356|47.198811|6312|false
1709|"Unterägeri"|1|5|false|8.562789|47.152375|6314|false
1710|"Walchwil"|1|6|false|8.514769|47.100256|6318|false
1711|"Zug"|1|3|true|8.518733|47.168747|6300|false
2013|"Domdidier"|2|6|false|7.015361|46.864761|1564|false
2015|"Estavayer-le-Lac"|2|5|false|6.827686|46.833086|1473|false
2029|"Montagny (FR)"|2|6|false|6.975569|46.819000|1774|false
2096|"Romont (FR)"|2|6|false|6.953275|46.693194|1680|false
2099|"Siviriez"|2|6|false|6.897694|46.651753|1676|false
2102|"Ursy"|2|6|false|6.855458|46.635056|1670|false
2113|"Vuisternens-devant-Romont"|2|6|false|6.939939|46.664828|1685|false
2124|"Broc"|2|6|false|7.099481|46.604956|1636|false
2125|"Bulle"|2|3|true|7.058453|46.620269|1630|false
2135|"Gruyères"|2|6|false|7.085494|46.588117|1663|false
2148|"Riaz"|2|6|false|7.061164|46.641500|1632|false
2160|"Vuadens"|2|6|false|7.019147|46.616461|1628|false
2163|"Val-de-Charmey"|2|6|false|7.162789|46.619086|1637|false
2175|"Belfaux"|2|6|false|7.077869|46.813622|1782|false
2183|"Corminboeuf"|2|6|false|7.078228|46.807128|1720|false
2192|"Farvagny"|2|6|false|7.066161|46.721900|1726|false
2196|"Fribourg"|2|3|true|7.162800|46.806186|1700|true
2197|"Givisiez"|2|6|false|7.126594|46.812208|1762|false
2198|"Granges-Paccot"|2|6|false|7.141511|46.825086|1763|false
2206|"Marly"|2|5|false|7.158928|46.774908|1723|false
2211|"Neyruz (FR)"|2|6|false|7.065217|46.767892|1740|false
2220|"Le Mouret"|2|6|false|7.202272|46.740650|1724|false
2228|"Villars-sur-Glâne"|2|4|true|7.116042|46.791031|1752|false
2233|"Hauterive (FR)"|2|6|false|7.094969|46.762328|1725|false
2254|"Courtepin"|2|6|false|7.126086|46.863697|1784|false
2262|"Gurmels"|1|6|false|7.153192|46.871800|1792|false
2265|"Kerzers"|1|6|false|7.196386|46.976147|3210|false
2275|"Murten"|1|5|false|7.091336|46.913756|3280|false
2280|"Bas-Vully"|2|6|false|7.112822|46.961889|1786|false
2291|"Alterswil"|1|6|false|7.267525|46.795253|1715|false
2293|"Düdingen"|1|5|false|7.190667|46.846036|3186|false
2295|"Bösingen"|1|6|false|7.228381|46.894200|3178|false
2305|"Schmitten (FR)"|1|6|false|7.254539|46.853811|3185|false
2306|"Tafers"|1|6|false|7.216519|46.817842|1712|false
2308|"Ueberstorf"|1|6|false|7.305108|46.866492|3182|false
2309|"Wünnewil-Flamatt"|1|5|false|7.308686|46.889561|3175|false
2321|"Attalens"|2|6|false|6.849225|46.510844|1616|false
2325|"Châtel-Saint-Denis"|2|5|false|6.901072|46.528797|1618|false
2401|"Egerkingen"|1|6|false|7.796294|47.326189|4622|false
2404|"Neuendorf"|1|6|false|7.796658|47.301542|4623|false
2406|"Oberbuchsiten"|1|6|false|7.772794|47.310292|4625|false
2407|"Oensingen"|1|5|false|7.723819|47.287289|4702|false
2408|"Wolfwil"|1|6|false|7.793439|47.270656|4628|false
2422|"Balsthal"|1|5|false|7.698203|47.311933|4710|false
2428|"Mümliswil-Ramiswil"|1|6|false|7.695128|47.341172|4717|false
2465|"Buchegg"|1|6|false|7.482714|47.148675|4576|false
2473|"Dornach"|1|5|false|7.623561|47.476142|4143|false
2476|"Hofstetten-Flüh"|1|6|false|7.505694|47.475261|4114|false
2493|"Lostorf"|1|6|false|7.951708|47.383067|4654|false
2495|"Niedergösgen"|1|6|false|7.988119|47.377414|5013|false
2497|"Obergösgen"|1|6|false|7.955839|47.362469|4653|false
2500|"Trimbach"|1|5|false|7.895942|47.367436|4632|false
2503|"Erlinsbach (SO)"|1|6|false|8.000547|47.400686|5015|false
2513|"Biberist"|1|5|false|7.552294|47.183186|4562|false
2516|"Deitingen"|1|6|false|7.626556|47.216369|4543|false
2517|"Derendingen"|1|5|false|7.591531|47.196967|4552|false
2519|"Gerlafingen"|1|6|false|7.571669|47.170508|4563|false
2526|"Lohn-Ammannsegg"|1|6|false|7.527411|47.173258|4573|false
2527|"Luterbach"|1|6|false|7.590894|47.213947|4542|false
2532|"Subingen"|1|6|false|7.622781|47.196650|4553|false
2534|"Zuchwil"|1|5|false|7.562531|47.204394|4528|false
2542|"Bellach"|1|5|false|7.492511|47.214783|4512|false
2543|"Bettlach"|1|6|false|7.429717|47.203389|2544|false
2546|"Grenchen"|1|4|true|7.407233|47.188975|2540|false
2550|"Langendorf"|1|6|false|7.514553|47.221742|4513|false
2554|"Riedholz"|1|6|false|7.569978|47.249358|4523|false
2556|"Selzach"|1|6|false|7.461417|47.204603|2545|false
2572|"Däniken"|1|6|false|7.976081|47.351997|4658|false
2573|"Dulliken"|1|6|false|7.946247|47.347869|4657|false
2576|"Gretzenbach"|1|6|false|8.002431|47.358222|5014|false
2579|"Hägendorf"|1|6|false|7.836703|47.337911|4614|false
2580|"Kappel (SO)"|1|6|false|7.854472|47.322503|4616|false
2581|"Olten"|1|4|true|7.911567|47.352908|4600|false
2583|"Schönenwerd"|1|6|false|8.023628|47.376942|5012|false
2586|"Wangen bei Olten"|1|6|false|7.877375|47.342664|4612|false
2601|"Solothurn"|1|4|true|7.529167|47.206467|4500|false
2613|"Breitenbach"|1|6|false|7.550975|47.403147|4226|false
